# Board	Channel	NumBins	BinOrOffset ADCBinLimit0 ADCBinLimit1 ...
# Board	Channel	NumBins	BinOrOffset TACOffsetBin0 TACOffsetBin1 ...
#   Board is 0xYY where YY is top two hex digits of board address
#   Channel is 0-31; only TAC channels are valid (4,5,6,7,12,13,14,15,20,21,22,23,28,29,30,31)
#   BinOrOffset = 0 for a Bin Limit row, 1 for an Offset row
#   NumBins must be exactly equal to the number of ADC Bins implemented in the QT VHDL
#     All ADC Bin Limits must be defined
#     Each ADC Bin Limit must be equal to or greater than the previous bin limit
#     An ADC value is in bin 'N' if BinLimit[N-1] < ADC <= BinLimit[N]
#     The first bin has an implied lower limit of '0'
#     An ADC value of '0' falls into the first bin
#     Unused ADC bins should have a limit of 4095 and be the highest ADC bins
#     At least one bin limit should be 4095 (full range covered)
# Slew Corrections come after the QT LUT (ie after TAC Offset/ADC Pedestal Subtraction)
# Slew Corrections come before QT Channel Masks

#VP001 East
0x16    4	8 0	    35     65    103    143    205    335    647   4095 
0x16    4	8 1	   172    133    100     80     67     55     38     16 
0x16    5	8 0	    38     69    109    149    213    349    678   4095 
0x16    5	8 1	   173    133    100     80     68     55     38     15 
0x16    6	8 0	    29     48     73     98    132    207    400   4095 
0x16    6	8 1	   180    142    108     85     73     59     40     11 
0x16    7	8 0	    31     59     96    140    196    321    624   4095 
0x16    7	8 1	   176    138    103     81     67     55     38     16 
0x16   12	8 0	    29     47     67     88    126    200    385   4095 
0x16   12	8 1	   184    144    109     87     72     56     35      6 
0x16   13	8 0	    25     39     53     69     99    155    290   4095 
0x16   13	8 1	   171    144    116     99     80     63     43     12 
0x16   14	8 0	    24     40     56     74    105    165    312   4095 
0x16   14	8 1	   181    149    115     96     78     63     41      9 
0x16   15	8 0	    29     48     69     91    129    204    392   4095 
0x16   15	8 1	   180    141    108     89     76     61     42     16 
0x16   20	8 0	    33     60    100    145    196    307    591   4095 
0x16   20	8 1	   166    126     93     70     57     46     31      9 
0x16   21	8 0	    34     60     98    138    185    288    555   4095 
0x16   21	8 1	   163    128     94     71     59     48     31      8 
0x16   22	8 0	    37     64    103    149    204    319    618   4095 
0x16   22	8 1	   159    120     89     67     54     42     26      6 
0x16   23	8 0	    31     55     87    123    172    282    554   4095 
0x16   23	8 1	   168    131     97     75     61     48     30      5 
0x16   28	8 0	    29     51     80    113    151    236    456   4095 
0x16   28	8 1	   165    130     99     76     63     52     35     12 
0x16   29	8 0	    36     66    107    146    210    347    681   4095 
0x16   29	8 1	   163    124     91     72     61     47     31      9 
0x16   30	8 0	    26     44     67     90    121    189    363   4095 
0x16   30	8 1	   170    138    104     82     71     58     39     12 
0x16   31	8 0	    28     49     76    106    144    225    437   4095 
0x16   31	8 1	   169    133    100     78     66     52     36     10 

#VP002 West
0x18    4	8 0	    35     61     97    139    191    314    641   4095 
0x18    4	8 1	    82     47     16     -6    -19    -29    -45    -70 
0x18    5	8 0	    34     58     95    139    190    312    641   4095 
0x18    5	8 1	    82     50     20     -2    -16    -26    -42    -62 
0x18    6	8 0	    28     50     79    111    151    248    509   4095 
0x18    6	8 1	    87     53     18     -5    -19    -31    -50    -75 
0x18    7	8 0	    27     46     70     94    128    212    440   4095 
0x18    7	8 1	   104     63     21     -3    -16    -31    -52    -84 
0x18   12	8 0	    35     62    101    140    190    314    633   4095 
0x18   12	8 1	    70     35      3    -18    -28    -38    -55    -75 
0x18   13	8 0	    36     62    101    147    202    332    670   4095 
0x18   13	8 1	    67     33      3    -18    -30    -41    -57    -80 
0x18   14	8 0	    34     58     92    130    181    300    619   4095 
0x18   14	8 1	    87     49     14     -9    -22    -35    -54    -79 
0x18   15	8 0	    43     72    117    174    232    351    685   4095 
0x18   15	8 1	    32     -8    -34    -53    -67    -74    -88    -98 
0x18   20	8 0	  4095   4095   4095   4095   4095   4095   4095   4095 
0x18   20	8 1	     0      0      0      0      0      0      0      0 
0x18   21	8 0	    22     45     80    125    175    285    596   4095 
0x18   21	8 1	   109     66     27     -2    -19    -30    -48    -71 
0x18   22	8 0	    34     57     89    125    165    261    522   4095 
0x18   22	8 1	    68     36      7    -13    -26    -36    -51    -76 
0x18   23	8 0	    27     45     69     96    131    215    450   4095 
0x18   23	8 1	    94     59     20     -4    -19    -33    -54    -83 
0x18   28	8 0	    34     57     89    121    158    249    510   4095 
0x18   28	8 1	    72     39      9    -11    -23    -33    -50    -73 
0x18   29	8 0	     1     27     62    116    178    268    563   4095 
0x18   29	8 1	    97     88     38      2    -22    -34    -47    -73 
0x18   30	8 0	     1      3     39     80    135    201    424   4095 
0x18   30	8 1	   106    104     72     22    -13    -31    -47    -72 
0x18   31	8 0	    37     62    100    146    195    302    595   4095 
0x18   31	8 1	    71     33      3    -19    -32    -44    -60    -82 



